pl_name,hostname,sy_starnum,sy_planetnum,disc_year,disc_facility,T_orbit,orb_semimajor_AU,R_pl_earths,M_pl_earths,orb_eccentricity,avg_temp,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_grav_surface,rastr,right_asc,decstr,declination,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,star_id,Fe,O,S,Ca,Mg,C,Si,Ti,planet_letter,T_orbit_right,orb_eccentricity_right,orb_semimajor_AU_right,M_pl_earths_right,R_pl_earths_right,inclination,atm_main_gases,atm_percentages,atm_trace_gases,pl_insolation
Kepler-167 d,Kepler-167,2,4,2016,Kepler,21.80379,0.1404,1.238,2.06,0.0,538,K4,4884.0,0.75,0.78,0.02,[Fe/H],4.58,19h30m38.05s,292.6585253,+38d20m44.00s,38.3455558,341.908,14.284,11.832,14.0004,Kepler-167,0.05,-0.14,0.0,0.08,0.02,-0.04,0.08,0.06,d,21.8,0.0,0.0,0.0,0.0,0.0,None,None,None,8085.684912803419
Kepler-167 e,Kepler-167,2,4,2016,Kepler,1071.23205,1.883,10.16,321.00669,0.29,134,K4,4884.0,0.75,0.78,0.02,[Fe/H],4.58,19h30m38.05s,292.6585253,+38d20m44.00s,38.3455558,341.908,14.284,11.832,14.0004,Kepler-167,0.05,-0.14,0.0,0.08,0.02,-0.04,0.08,0.06,e,1071.23,0.29,1.88,1.01,0.91,89.97,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,2187.422304090077
Kepler-1671 b,Kepler-1671,1,1,2020,Kepler,4.16787,0.0491,1.326,2.32,0.0,962,,5135.55,0.93,0.87,0.25,[M/H],4.44,19h26m59.62s,291.7484295,+39d26m48.41s,39.4467817,357.059,13.439,11.512,13.2783,Kepler-1671,0.18,0.09,0.0,0.17,0.13,0.15,0.16,0.15,b,4.17,0.0,0.05,0.0,0.0,89.95,None,None,None,16009.647529780956
Kepler-1672 b,Kepler-1672,1,1,2020,Kepler,150.878,0.5726,2.97,9.11,0.0,423,,6131.95,1.09,1.16,-0.25,[M/H],4.43,19h51m45.62s,297.9400971,+40d16m42.80s,40.2785566,391.181,12.548,11.096,12.3961,Kepler-1672,-0.2,-0.18,0.0,-0.16,-0.18,-0.12,-0.17,-0.19,b,150.88,0.0,0.58,0.0,0.0,89.95,O|N|H2O|S,13.841716348857663|55.36686539543065|29.42748895767139|0.8639292980402836,CH4|NH4|NH3|SO2,6060.106584008022
Kepler-1673 b,Kepler-1673,1,1,2020,Kepler,33.7888,0.2127,2.936,8.93,0.0,611,,6014.95,1.13,1.11,0.228,[M/H],4.38,19h02m40.12s,285.6671724,+48d43m10.51s,48.7195865,727.187,13.783,12.315,13.5988,Kepler-1673,-0.03,0.76,0.0,-0.28,0.29,0.51,0.37,-0.12,b,33.79,0.0,0.21,0.0,0.0,89.38,O|N|H2O|S,13.948924974389902|55.79569989755961|29.655414495552932|0.09996063249755725,SO2,9930.739249191225
Kepler-1675 b,Kepler-1675,1,1,2020,Kepler,63.0382,0.3076,3.125,9.93,0.0,465,,5853.19,1.13,1.06,0.254,[M/H],4.36,18h55m14.29s,283.8095478,+41d02m28.51s,41.0412517,651.117,13.672,12.163,13.5535,Kepler-1675,0.17,0.03,0.0,0.23,0.14,0.07,0.14,0.13,b,63.04,0.0,0.0,0.0,0.0,0.0,O|N|H2O|S,13.887949235681447|55.55179694272579|29.52578007505875|0.5344737465340204,SO2,8035.867339508717
Kepler-1677 b,Kepler-1677,1,1,2020,Kepler,22.064,0.1624,2.702,7.76,0.0,712,,6013.72,1.25,1.11,0.108,[M/H],4.29,19h53m58.39s,298.493273,+47d00m47.00s,47.0130566,735.369,13.806,12.288,13.644,Kepler-1677,0.13,0.08,0.0,0.17,0.06,0.04,0.09,0.09,b,22.06,0.0,0.0,0.0,0.0,0.0,O|N|H2O|S,13.896066705939184|55.584266823756735|29.5430378168267|0.47662865347737104,SO2,11950.863276420032
Kepler-1680 b,Kepler-1680,1,1,2020,Kepler,8.77424,0.0784,1.36,2.42,0.0,771,,5021.0,0.72,0.83,0.2,[Fe/H],4.64,19h48m17.92s,297.0746571,+39d56m02.00s,39.9338893,310.315,13.85,11.673,13.6931,Kepler-1680,-0.1,-0.22,0.0,0.01,-0.13,-0.13,-0.1,-0.11,b,8.77,0.0,0.0,0.0,0.0,0.0,None,None,None,10899.147216071136
Kepler-1681 b,Kepler-1681,1,1,2020,Kepler,69.8956,0.32,2.553,7.05,0.0,442,,5756.4,0.76,0.89,0.106,[M/H],4.54,19h46m47.35s,296.6972773,+46d22m18.11s,46.3716969,758.3,14.646,12.661,14.5565,Kepler-1681,0.08,-0.1,0.0,0.23,0.01,-0.03,0.03,0.1,b,69.9,0.0,0.32,0.0,0.0,89.08,O|N|H2O|S,13.861965156244441|55.447860624977764|29.47053792217568|0.7196362966021208,NH4|NH3|SO2,6354.433687672021
Kepler-1686 b,Kepler-1686,1,1,2020,Kepler,9.30987,0.0866,1.426,2.62,0.0,913,,5714.96,1.2,1.02,0.077,[M/H],4.29,19h26m25.61s,291.6067189,+42d02m09.52s,42.0359783,729.823,13.661,12.336,13.7519,Kepler-1686,0.09,-0.03,0.0,0.07,0.09,0.02,0.05,0.04,b,9.31,0.0,0.0,0.0,0.13,0.0,None,None,None,15238.38537217859
Kepler-1688 b,Kepler-1688,1,1,2020,Kepler,5.62012,0.0577,1.262,2.13,0.0,772,,4632.11,0.75,0.81,-0.046,[M/H],4.6,19h18m12.72s,289.5530051,+41d17m52.27s,41.2978532,567.4468709,14.142,11.755,13.9862,Kepler-1688,-0.01,-0.33,0.0,0.08,-0.11,-0.14,-0.03,-0.07,b,5.62,0.0,0.0,0.0,0.11,0.0,None,None,None,11962.32699115677
Kepler-1689 b,Kepler-1689,1,1,2020,Kepler,8.483,0.0798,0.947,0.799,0.0,879,,5731.43,1.0,1.02,-0.146,[M/H],4.45,19h26m17.80s,291.5741663,+38d39m21.40s,38.6559433,294.122,12.227,10.706,12.1077,Kepler-1689,-0.18,-0.15,0.0,-0.15,-0.17,-0.16,-0.16,-0.15,b,8.48,0.0,0.08,0.0,0.0,89.95,None,None,None,14533.011839270768
Kepler-169 b,Kepler-169,1,5,2014,Kepler,3.250619,0.04,1.13,1.51,0.0,962,,4997.0,0.76,0.84,0.05,[Fe/H],4.58,19h03m59.98s,285.9999204,+40d55m09.78s,40.9193822,406.529,14.424,12.186,14.1617,Kepler-169,0.12,0.04,0.0,0.14,0.05,0.12,0.08,0.08,b,0.0,0.0,0.0,0.0,0.1,0.0,None,None,None,15601.998447857808
Kepler-169 c,Kepler-169,1,5,2014,Kepler,6.195469,0.062,1.21,1.92,0.0,776,,4997.0,0.76,0.84,0.05,[Fe/H],4.58,19h03m59.98s,285.9999204,+40d55m09.78s,40.9193822,406.529,14.424,12.186,14.1617,Kepler-169,0.12,0.04,0.0,0.14,0.05,0.12,0.08,0.08,c,6.2,0.0,0.06,0.0,0.0,87.06,None,None,None,12531.826722826176
Kepler-169 d,Kepler-169,1,5,2014,Kepler,8.348125,0.075,1.25,2.1,0.0,702,,4997.0,0.76,0.84,0.05,[Fe/H],4.58,19h03m59.98s,285.9999204,+40d55m09.78s,40.9193822,406.529,14.424,12.186,14.1617,Kepler-169,0.12,0.04,0.0,0.14,0.05,0.12,0.08,0.08,d,0.0,0.0,0.0,0.0,0.12,0.0,None,None,None,11394.088656069747
Kepler-169 e,Kepler-169,1,5,2014,Kepler,13.767102,0.105,2.2,5.48,0.0,595,,4997.0,0.76,0.84,0.05,[Fe/H],4.58,19h03m59.98s,285.9999204,+40d55m09.78s,40.9193822,406.529,14.424,12.186,14.1617,Kepler-169,0.12,0.04,0.0,0.14,0.05,0.12,0.08,0.08,e,13.77,0.0,0.11,0.0,0.0,87.66,O|N|H2O|S,13.889647556781364|55.55859022712546|29.529390705717177|0.5223715103759973,SO2,9629.762506431272
Kepler-169 f,Kepler-169,1,5,2014,Kepler,87.090195,0.359,2.58,7.18,0.0,321,,4997.0,0.76,0.84,0.05,[Fe/H],4.58,19h03m59.98s,285.9999204,+40d55m09.78s,40.9193822,406.529,14.424,12.186,14.1617,Kepler-169,0.12,0.04,0.0,0.14,0.05,0.12,0.08,0.08,f,87.09,0.0,0.36,0.0,0.23,0.0,O|N|H2O|S,13.889647556781364|55.55859022712546|29.529390705717177|0.5223715103759973,CH4|NH4|NH3|SO2,5207.904379858041
Kepler-1697 b,Kepler-1697,1,1,2020,Kepler,33.4969,0.2008,1.26,2.12,0.0,630,,4681.53,0.77,0.75,0.034,[M/H],4.54,19h10m39.20s,287.663331,+43d28m16.96s,43.4713782,247.771,13.556,11.175,13.3622,Kepler-1697,0.15,0.31,0.0,0.22,0.08,0.36,0.14,0.12,b,33.5,0.0,0.2,0.0,0.0,89.95,O|N|H2O|S,13.923489528615615|55.69395811446246|29.601338737836794|0.28121361908512493,SO2,6566.673139796368
Kepler-1698 b,Kepler-1698,1,1,2020,Kepler,1.2107,0.0203,1.073,1.25,0.0,1351,,4975.03,0.74,0.82,0.08,[M/H],4.61,19h33m22.80s,293.3450181,+39d15m27.89s,39.2577469,222.345,13.054,10.915,12.8761,Kepler-1698,0.09,-0.1,0.0,0.14,-0.01,0.01,0.04,0.04,b,1.21,0.0,0.0,0.0,0.0,0.0,None,None,None,21515.80627392059
Kepler-17 b,Kepler-17,1,1,2011,Kepler,1.4857108,0.02591,14.68,778.65,0.011,1570,G2 V,5781.0,1.01,1.04,0.26,[M/H],4.45,19h53m34.86s,298.3952437,+47d48m53.95s,47.8149865,720.753,14.314,12.585,14.1311,Kepler-17,0.36,0.15,0.0,0.28,0.14,0.17,0.17,0.26,b,1.49,0.01,0.03,2.45,1.31,87.2,O|N|H2O|S|CO2,11.387919175475878|45.55167670190351|24.21071616706171|0.3324548195128014|18.017233136046087,CH4|NH4|NH3|SO2,25846.609954473977
Kepler-1700 b,Kepler-1700,1,1,2020,Kepler,234.239,0.7576,2.901,8.76,0.0,329,,6031.0,1.09,1.12,0.16,[Fe/H],4.41,19h07m47.94s,286.9497376,+45d21m13.55s,45.3537626,717.597,13.764,12.352,13.6285,Kepler-1700,0.06,-0.09,0.0,0.09,0.05,0.1,0.01,0.01,b,234.24,0.0,0.0,0.0,0.0,0.0,O|N|H2O|S,13.864247660361785|55.45699064144714|29.475390525929154|0.703371172261927,CH4|NH4|NH3|SO2,5181.7526107058075
Kepler-1701 b,Kepler-1701,1,1,2020,Kepler,169.134,0.5608,2.222,5.57,0.0,273,,5146.0,0.84,0.87,0.03,[M/H],4.53,19h06m26.13s,286.6088625,+41d53m21.47s,41.8892986,584.142,14.722,12.743,14.5504,Kepler-1701,0.05,-0.21,0.0,0.07,-0.02,-0.11,-0.01,0.0,b,169.13,0.0,0.57,0.0,0.0,89.95,O|N|H2O|S,13.833126238392497|55.33250495356999|29.409226382822446|0.9251424252150805,CH4|NH4|NH3|SO2,4511.277088696094
Kepler-1704 b,Kepler-1704,1,1,2013,Kepler,988.88112,2.027,11.949,1322.16617,0.92,254,,5746.0,1.7,1.13,0.196,[Fe/H],4.03,19h24m48.30s,291.2012559,+51d08m39.28s,51.1442437,835.455,13.392,11.792,13.2514,Kepler-1704,0.15,0.2,0.0,0.18,0.12,0.09,0.09,0.11,b,988.88,0.0,2.01,0.0,0.0,89.95,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,3489.6148095649
Kepler-1709 b,Kepler-1709,1,1,2021,Kepler,65.70459747,0.3192,3.124,9.93,0.0,472,,5918.0,1.04,1.0,-0.04,[Fe/H],4.4,18h53m29.97s,283.3748873,+43d47m18.13s,43.7883708,273.946,11.642,10.3,11.6176,Kepler-1709,0.09,0.09,0.0,0.1,0.06,0.04,0.04,0.04,b,65.7,0.0,0.33,0.0,0.0,89.95,O|N|H2O|S,13.897582086099822|55.59032834439929|29.54625951504822|0.46583005445267867,NH4|SO2,7651.635432337182
Kepler-171 b,Kepler-171,1,3,2014,Kepler,4.166972,0.05,2.34,6.08,0.0,1053,,5642.0,0.84,0.91,0.11,[M/H],4.57,19h47m05.26s,296.7719082,+41d45m20.14s,41.7555958,863.855,15.101,13.206,14.9053,Kepler-171,0.13,0.26,0.0,0.14,0.09,0.14,-0.01,0.17,b,4.17,0.0,0.0,0.0,0.28,0.0,None,None,None,16564.632422915725
Kepler-171 c,Kepler-171,1,3,2014,Kepler,11.463462,0.098,2.56,7.08,0.0,752,,5642.0,0.84,0.91,0.11,[M/H],4.57,19h47m05.26s,296.7719082,+41d45m20.14s,41.7555958,863.855,15.101,13.206,14.9053,Kepler-171,0.13,0.26,0.0,0.14,0.09,0.14,-0.01,0.17,c,11.46,0.0,0.0,0.0,0.0,0.0,O|N|H2O|S,13.918689573934781|55.674758295739124|29.591134034185345|0.31541809614074756,SO2,11831.88030208266
Kepler-171 d,Kepler-171,1,3,2014,Kepler,39.595519,0.223,1.89,4.23,0.0,497,,5642.0,0.84,0.91,0.11,[M/H],4.57,19h47m05.26s,296.7719082,+41d45m20.14s,41.7555958,863.855,15.101,13.206,14.9053,Kepler-171,0.13,0.26,0.0,0.14,0.09,0.14,-0.01,0.17,d,39.6,0.0,0.0,0.0,0.21,0.0,O|N|H2O|S,13.918689573934781|55.674758295739124|29.591134034185345|0.31541809614074756,SO2,7843.5807821249555
Kepler-1710 b,Kepler-1710,1,1,2021,Kepler,14.91110039,0.115769,3.197,3.49494,0.0,694,,5650.0,0.9,0.93,-0.04,[Fe/H],4.5,19h26m43.99s,291.6832878,+37d45m05.30s,37.7514726,305.193,12.695,11.047,12.5606,Kepler-1710,-0.07,-0.09,0.0,-0.06,-0.08,-0.07,-0.06,-0.12,b,14.91,0.0,0.12,0.0,0.0,89.95,None,None,None,11284.118598126923
Kepler-1711 b,Kepler-1711,1,1,2021,Kepler,21.06080055,0.1463,1.923,4.36,0.0,669,,5706.0,1.03,0.94,0.0,[Fe/H],4.38,19h52m42.55s,298.1772916,+42d14m13.30s,42.2370289,590.268,13.298,11.643,13.1844,Kepler-1711,-0.05,-0.1,0.0,0.01,-0.06,-0.04,-0.06,-0.07,b,21.06,0.0,0.0,0.0,0.17,0.0,None,None,None,10844.818725697653
Kepler-1713 b,Kepler-1713,1,1,2021,Kepler,18.01160049,0.1469,1.717,3.59,0.0,900,,6477.0,1.46,1.3,0.1,[Fe/H],4.22,19h09m22.96s,287.3456737,+43d22m42.20s,43.3783894,295.293,11.065,9.754,10.8652,Kepler-1713,0.01,0.0,0.0,0.07,-0.06,-0.1,0.01,0.09,b,18.01,0.0,0.0,0.0,0.0,0.0,None,None,None,14626.26734891205
Kepler-1714 b,Kepler-1714,1,1,2021,Kepler,10.27530003,0.1047,3.264,10.7,0.0,1211,,6150.0,2.09,1.45,0.22,[Fe/H],3.96,19h34m51.95s,293.7164655,+46d13m36.08s,46.2266878,409.46,11.041,9.705,10.9663,Kepler-1714,0.26,0.31,0.0,0.27,0.11,0.17,0.18,0.21,b,10.28,0.0,0.1,0.0,0.0,84.8,None,None,None,19681.989620111617
Kepler-1715 b,Kepler-1715,1,1,2021,Kepler,35.59730148,0.2178,4.14,16.0,0.0,646,,6212.0,1.21,1.08,-0.04,[Fe/H],4.31,19h35m43.14s,293.9297337,+41d36m10.46s,41.6029048,522.605,12.881,11.041,12.3012,Kepler-1715,0.08,0.27,0.0,0.18,-0.05,-0.05,0.01,0.02,b,35.6,0.0,0.22,0.0,0.0,87.51,O|N|H2O|S,13.91969400120718|55.67877600482872|29.593269446566463|0.3082605473976298,SO2,10487.91780175789
Kepler-1716 b,Kepler-1716,1,1,2021,Kepler,35.58100128,0.1916,2.425,6.46,0.0,408,,4894.0,0.68,0.75,-0.24,[Fe/H],4.64,19h49m05.21s,297.2717207,+43d19m59.03s,43.3330644,195.439,13.129,10.813,12.9403,Kepler-1716,-0.26,-0.31,0.0,-0.17,-0.24,-0.23,-0.22,-0.24,b,35.59,0.0,0.19,0.0,0.0,89.38,O|N|H2O|S,13.799903437785819|55.199613751143275|29.338594708732654|1.1618881023382595,NH4|SO2,6604.116858923419
Kepler-1718 b,Kepler-1718,1,1,2021,Kepler,135.1880035,0.4878,2.569,7.12,0.0,345,,5731.0,0.91,0.85,-0.32,[Fe/H],4.45,19h28m56.38s,292.2349191,+42d54m34.06s,42.9094618,375.522,12.821,11.316,12.735,Kepler-1718,-0.36,-0.23,0.0,-0.3,-0.32,-0.25,-0.29,-0.3,b,135.19,0.0,0.48,0.0,0.0,89.95,O|N|H2O|S,13.82706725653654|55.30826902614616|29.39634498739668|0.9683187299206106,CH4|NH4|NH3|SO2,5606.919063706756
Kepler-1719 b,Kepler-1719,1,1,2021,Kepler,6.14955998,0.0674,3.95,14.8,0.0,1287,,5687.0,1.78,1.08,0.04,[Fe/H],3.97,18h58m49.65s,284.7068546,+38d56m12.32s,38.9367566,905.406,13.478,11.776,13.3258,Kepler-1719,0.12,0.06,0.0,0.11,0.07,0.07,0.07,0.1,b,6.15,0.0,0.07,0.0,0.0,84.8,None,None,None,20934.24784564955
Kepler-172 b,Kepler-172,1,4,2014,Kepler,2.940309,0.04,2.35,6.12,0.0,1256,,5526.0,1.08,1.0,0.23,[Fe/H],4.38,18h53m28.42s,283.3684093,+41d49m18.62s,41.821839,828.592,14.703,12.793,14.5369,Kepler-172,0.29,0.17,0.0,0.3,0.25,0.25,0.3,0.29,b,2.94,0.0,0.04,0.0,0.0,89.95,None,None,None,20567.75275925718
Kepler-172 c,Kepler-172,1,4,2014,Kepler,6.388996,0.068,2.86,8.55,0.0,970,,5526.0,1.08,1.0,0.23,[Fe/H],4.38,18h53m28.42s,283.3684093,+41d49m18.62s,41.821839,828.592,14.703,12.793,14.5369,Kepler-172,0.29,0.17,0.0,0.3,0.25,0.25,0.3,0.29,c,6.39,0.0,0.07,0.0,0.0,89.95,None,None,None,15774.746265619155
Kepler-172 d,Kepler-172,1,4,2014,Kepler,14.627119,0.118,2.25,5.69,0.0,736,,5526.0,1.08,1.0,0.23,[Fe/H],4.38,18h53m28.42s,283.3684093,+41d49m18.62s,41.821839,828.592,14.703,12.793,14.5369,Kepler-172,0.29,0.17,0.0,0.3,0.25,0.25,0.3,0.29,d,14.63,0.0,0.0,0.0,0.0,0.0,None,None,None,11975.008631197927
Kepler-172 e,Kepler-172,1,4,2014,Kepler,35.118736,0.211,2.76,8.05,0.0,550,,5526.0,1.08,1.0,0.23,[Fe/H],4.38,18h53m28.42s,283.3684093,+41d49m18.62s,41.821839,828.592,14.703,12.793,14.5369,Kepler-172,0.29,0.17,0.0,0.3,0.25,0.25,0.3,0.29,e,35.12,0.0,0.2,0.0,0.0,88.24,O|N|H2O|S,13.90853690989355|55.6341476395742|29.56954947043369|0.38776598009855806,SO2,8955.206630474215
Kepler-1725 b,Kepler-1725,1,1,2021,Kepler,16.71990013,0.1302,2.813,8.31,0.0,767,,6020.0,1.08,1.05,0.0,[Fe/H],4.39,19h37m29.65s,294.3735518,+40d11m40.68s,40.1946345,558.652,13.153,11.751,13.0267,Kepler-1725,0.09,0.01,0.0,0.13,0.03,0.05,0.03,0.06,b,16.72,0.0,0.0,0.0,0.25,0.0,O|N|H2O|S,13.884434314854607|55.53773725941843|29.51830735338089|0.5595210723460624,SO2,12419.29540512615
Kepler-1726 b,Kepler-1726,1,1,2021,Kepler,18.39629936,0.1306,2.509,6.84,0.0,582,,5316.0,0.8,0.88,0.0,[Fe/H],4.57,18h57m32.68s,284.3861498,+45d43m11.04s,45.7197342,390.552,13.851,11.966,13.6766,Kepler-1726,-0.15,-0.14,0.0,-0.1,-0.18,-0.18,-0.2,-0.15,b,18.4,0.0,0.13,0.0,0.0,88.18,O|N|H2O|S,13.852299284680507|55.40919713872203|29.44998827923076|0.7885152973667122,SO2,9424.372812255644
Kepler-173 b,Kepler-173,1,2,2014,Kepler,4.263742,0.048,1.29,2.21,0.0,1179,,6031.0,0.95,0.79,0.036,[M/H],4.4,19h38m35.19s,294.6466171,+41d53m02.74s,41.8840952,833.165,14.357,12.668,14.2578,Kepler-173,0.04,0.02,0.0,0.06,0.06,0.19,0.09,0.05,b,4.26,0.0,0.05,0.0,0.0,88.81,None,None,None,19218.72590052314
Kepler-173 c,Kepler-173,1,2,2014,Kepler,8.005777,0.074,2.43,6.48,0.0,956,,6031.0,0.95,0.79,0.036,[M/H],4.4,19h38m35.19s,294.6466171,+41d53m02.74s,41.8840952,833.165,14.357,12.668,14.2578,Kepler-173,0.04,0.02,0.0,0.06,0.06,0.19,0.09,0.05,c,8.01,0.0,0.07,0.0,0.0,89.74,None,None,None,15478.51711396165
Kepler-1731 b,Kepler-1731,1,1,2021,Kepler,21.76129913,0.1401,2.933,8.92,0.0,486,,4859.0,0.72,0.78,0.0,[Fe/H],4.61,19h25m01.06s,291.2544229,+36d44m36.35s,36.7434302,169.948,12.742,10.41,12.4974,Kepler-1731,0.01,-0.29,0.0,0.04,-0.07,-0.15,0.02,-0.01,b,21.76,0.0,0.14,0.0,0.0,89.95,O|N|H2O|S,13.80715997857579|55.22863991430316|29.354022114452125|1.1101779926689244,SO2,7890.2026938382305
Kepler-174 b,Kepler-174,1,3,2014,Kepler,13.98179,0.1,1.96,4.5,0.0,553,,4880.0,0.62,0.6,-0.44,[M/H],4.68,19h09m45.35s,287.4389454,+43d49m55.22s,43.8320052,384.757,14.53,12.184,14.2858,Kepler-174,-0.62,-0.08,0.0,-0.42,-0.36,-0.14,-0.36,-0.36,b,13.98,0.0,0.1,0.0,0.0,88.81,O|N|H2O|S,13.866478934660565|55.46591573864226|29.48013421508836|0.6874711116088227,SO2,8703.81691776182
Kepler-174 c,Kepler-174,1,3,2014,Kepler,44.000529,0.214,1.49,2.83,0.0,377,,4880.0,0.62,0.6,-0.44,[M/H],4.68,19h09m45.35s,287.4389454,+43d49m55.22s,43.8320052,384.757,14.53,12.184,14.2858,Kepler-174,-0.62,-0.08,0.0,-0.42,-0.36,-0.14,-0.36,-0.36,c,44.0,0.0,0.21,0.0,0.0,89.97,O|N|H2O|S,13.866478934660565|55.46591573864226|29.48013421508836|0.6874711116088227,SO2,5949.806756381161
Kepler-174 d,Kepler-174,1,3,2014,Kepler,247.35373,0.677,2.19,5.43,0.0,212,,4880.0,0.62,0.6,-0.44,[M/H],4.68,19h09m45.35s,287.4389454,+43d49m55.22s,43.8320052,384.757,14.53,12.184,14.2858,Kepler-174,-0.62,-0.08,0.0,-0.42,-0.36,-0.14,-0.36,-0.36,d,247.35,0.0,0.66,0.0,0.0,89.99,O|N|H2O|S|CO2,11.717543312636037|46.87017325054415|24.911497082664216|0.5809313643658315|15.419854989789764,CH4|NH4|NH3|SO2,3345.148583468685
Kepler-1743 b,Kepler-1743,1,1,2021,Kepler,7.64971018,0.0822,1.599,3.18,0.0,1144,,5855.0,1.61,1.27,0.4,[Fe/H],4.12,19h22m12.57s,290.5523552,+48d07m34.53s,48.1262575,538.807,12.062,10.562,11.9354,Kepler-1743,0.26,0.2,0.0,0.3,0.2,0.17,0.21,0.24,b,7.65,0.0,0.08,0.0,0.0,77.35,None,None,None,18560.856329658858
Kepler-1746 b,Kepler-1746,1,1,2021,Kepler,321.2120056,0.9453,8.935,59.1,0.0,310,,6018.0,1.29,1.09,0.06,[Fe/H],4.26,19h13m16.90s,288.3203979,+42d15m40.99s,42.2613874,979.541,13.572,12.232,13.4903,Kepler-1746,-0.14,0.04,0.0,-0.1,-0.16,-0.28,-0.11,-0.08,b,321.21,0.0,0.88,0.0,0.0,89.95,O|N|H2O|S|CO2,12.61604187196952|50.46416748787808|26.821705019807197|0.47447286338161754|9.123612756963581,CH4|NH4|NH3|SO2,5035.658730532013
Kepler-175 b,Kepler-175,1,2,2014,Kepler,11.903515,0.105,2.56,7.08,0.0,827,,6064.0,1.01,1.12,0.1,[Fe/H],4.47,19h18m12.78s,289.553232,+43d52m34.02s,43.876116,1312.34,15.225,13.496,14.9115,Kepler-175,0.06,-0.06,0.0,0.15,0.03,0.02,0.01,0.09,b,11.9,0.0,0.1,0.0,0.23,0.0,None,None,None,13471.604069346253
Kepler-175 c,Kepler-175,1,2,2014,Kepler,34.035257,0.213,3.1,9.8,0.0,583,,6064.0,1.01,1.12,0.1,[Fe/H],4.47,19h18m12.78s,289.553232,+43d52m34.02s,43.876116,1312.34,15.225,13.496,14.9115,Kepler-175,0.06,-0.06,0.0,0.15,0.03,0.02,0.01,0.09,c,34.04,0.0,0.0,0.0,0.33,0.0,O|N|H2O|S,13.870792304541865|55.48316921816746|29.489304439456006|0.6567340378346737,SO2,9458.541163639697
Kepler-1756 b,Kepler-1756,1,1,2021,Kepler,2.35575008,0.0319,1.472,2.77,0.0,1093,,4915.0,0.81,0.78,0.16,[Fe/H],4.51,19h37m27.58s,294.364904,+40d43m15.20s,40.7208898,,15.736,13.452,15.6634,Kepler-1756,0.01,-0.21,0.0,0.0,-0.04,0.01,0.23,0.01,b,2.36,0.0,0.03,0.0,0.0,88.81,None,None,None,17740.455664720695
Kepler-176 b,Kepler-176,1,4,2014,Kepler,5.433074,0.058,1.43,2.63,0.0,841,,5232.0,0.89,0.79,0.16,[Fe/H],4.47,19h38m40.30s,294.6679021,+43d51m11.56s,43.8532104,527.321,14.767,12.567,14.5446,Kepler-176,0.09,-0.08,0.0,0.11,0.06,-0.04,0.03,0.09,b,5.43,0.0,0.06,0.0,0.0,86.69,None,None,None,14680.566758701165
Kepler-176 c,Kepler-176,1,4,2014,Kepler,12.759712,0.102,2.6,23.0,0.0,633,,5232.0,0.89,0.79,0.16,[Fe/H],4.47,19h38m40.30s,294.6679021,+43d51m11.56s,43.8532104,527.321,14.767,12.567,14.5446,Kepler-176,0.09,-0.08,0.0,0.11,0.06,-0.04,0.03,0.09,c,12.76,0.0,0.0,0.0,0.0,0.0,O|N|H2O|S|CO2,11.265497690824244|45.061990763296976|23.95044809069234|0.5585198850285601|18.663543570157874,CH4|NH4|NH3|SO2,11070.232271987798
Kepler-176 d,Kepler-176,1,4,2014,Kepler,25.751974,0.163,2.51,15.2,0.0,501,,5232.0,0.89,0.79,0.16,[Fe/H],4.47,19h38m40.30s,294.6679021,+43d51m11.56s,43.8532104,527.321,14.767,12.567,14.5446,Kepler-176,0.09,-0.08,0.0,0.11,0.06,-0.04,0.03,0.09,d,25.75,0.0,0.0,0.0,0.0,0.0,O|N|H2O|S|CO2,11.265497690824244|45.061990763296976|23.95044809069234|0.5585198850285601|18.663543570157874,CH4|NH4|NH3|SO2,8757.154600173195
Kepler-176 e,Kepler-176,1,4,2016,Kepler,51.16579,0.2494,1.45,2.7,0.0,398,,5295.0,0.83,0.87,0.03,[Fe/H],4.55,19h38m40.30s,294.6679021,+43d51m11.56s,43.8532104,527.321,14.767,12.567,14.5446,Kepler-176,0.09,-0.08,0.0,0.11,0.06,-0.04,0.03,0.09,e,51.17,0.0,0.0,0.0,0.0,0.0,O|N|H2O|S,13.866478934660565|55.46591573864226|29.48013421508836|0.6874711116088227,SO2,6919.120059850248
Kepler-1766 b,Kepler-1766,1,1,2021,Kepler,105.0149994,0.4229,2.279,5.81,0.0,406,,5868.0,1.04,0.92,-0.22,[Fe/H],4.36,19h37m06.54s,294.2772343,+46d40m30.85s,46.6752351,501.229,12.96,11.475,12.8705,Kepler-1766,-0.26,-0.13,0.0,-0.23,-0.24,-0.14,-0.21,-0.24,b,105.01,0.0,0.42,0.0,0.0,89.38,O|N|H2O|S,13.85479855102346|55.41919420409384|29.455301719475877|0.7707055254068155,SO2,6591.4659459642235
