pl_name,hostname,sy_starnum,sy_planetnum,disc_year,disc_facility,T_orbit,orb_semimajor_AU,R_pl_earths,M_pl_earths,orb_eccentricity,avg_temp,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_grav_surface,rastr,right_asc,decstr,declination,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,star_id,Fe,O,S,Ca,Mg,C,Si,Ti,planet_letter,T_orbit_right,orb_eccentricity_right,orb_semimajor_AU_right,M_pl_earths_right,R_pl_earths_right,inclination,atm_main_gases,atm_percentages,atm_trace_gases,pl_insolation
HD 16141 b,HD 16141,2,1,2000,W. M. Keck Observatory,75.523,0.36,10.9,82.6358,0.25,,G5 IV,5757.0,1.48,1.11,0.13,[Fe/H],4.14,02h35m19.77s,38.8323674,-03d33m44.96s,-3.5624887,37.7861,6.834,5.266,6.65773,*  79 Cet,0.17,0.06,0.08,0.17,0.2,0.15,0.12,0.18,b,75.52,0.25,0.36,0.26,0.0,0.0,O|N|H2O|S|CO2,11.021233122258959|44.084932489035836|23.431141617922545|0.4759030035893405|20.486789767193315,CH4|NH4|NH3|SO2,8296.908014233892
HD 16175 b,HD 16175,1,1,2009,Lick Observatory,990.0,2.12,12.8,1875.1876,0.6,,G2,5981.0,1.72,1.63,0.3,[Fe/H],4.18,02h37m01.86s,39.2577379,+42d03m44.83s,42.0624526,59.859,7.297,5.853,7.1291,HD  16175,0.35,0.31,0.22,0.27,0.31,0.33,0.32,0.32,b,981.1,0.68,2.13,5.9,0.0,59.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,3753.6629035919673
HD 162020 b,HD 162020,1,1,2002,La Silla Observatory,8.4282,0.08,12.5,3127.4472,0.28,650,K3 V,4723.0,0.75,0.42,-0.1,[Fe/H],4.31,17h50m38.38s,267.6599252,-40d19m06.47s,-40.3184646,30.8248,9.1,6.539,8.75949,HD 162020,-0.04,0.13,0.0,-0.02,-0.09,-0.02,-0.07,0.13,b,8.43,0.28,0.07,14.4,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,10266.73458908232
HD 163607 b,HD 163607,1,2,2010,W. M. Keck Observatory,75.2203,0.362,13.9,249.05159,0.7441,,G5,5522.0,1.76,1.12,0.21,[Fe/H],3.97,17h53m40.35s,268.4181383,+56d23m32.89s,56.3924701,67.7855,8.0,6.271,7.81298,HD 163607,0.17,0.11,0.0,0.16,0.17,0.14,0.14,0.16,b,75.22,0.74,0.36,0.78,0.0,0.0,O|N|H2O|S|CO2,11.336449426236342|45.34579770494537|24.101291480178464|0.36288190432671946|18.3535794843131,CH4|NH4|NH3|SO2,8354.400924407875
HD 163607 c,HD 163607,1,2,2010,W. M. Keck Observatory,1272.0,2.39,13.3,699.54383,0.08,,G5,5522.0,1.76,1.12,0.21,[Fe/H],3.97,17h53m40.35s,268.4181383,+56d23m32.89s,56.3924701,67.7855,8.0,6.271,7.81298,HD 163607,0.17,0.11,0.0,0.16,0.17,0.14,0.14,0.16,c,1272.0,0.08,2.39,2.2,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,3387.059695402269
HD 16417 b,HD 16417,2,1,2008,Anglo-Australian Telescope,17.24,0.14,5.0,22.1,0.2,,G1 V,5841.0,1.64,1.2,0.06,[Fe/H],4.16,02h36m58.58s,39.2441029,-34d34m44.73s,-34.5790905,25.3936,5.78,4.246,5.61319,* lam02 For,0.16,0.06,0.01,0.18,0.21,0.18,0.13,0.18,b,17.24,0.2,0.14,0.07,0.0,0.0,O|N|H2O|S,13.891307620713086|55.56523048285234|29.53292000163602|0.510541894798556,SO2,14235.639323049643
HD 164509 b,HD 164509,2,1,2010,W. M. Keck Observatory,280.17,0.87,14.3,140.79869,0.238,,G5,5859.0,1.11,1.12,0.2,[Fe/H],4.44,18h01m31.22s,270.3800811,+00d06m16.09s,0.1044685,53.1119,8.1,6.586,7.95594,HD 164509,0.25,0.03,0.0,0.2,0.16,0.17,0.16,0.12,b,280.17,0.24,0.87,0.44,0.0,0.0,O|N|H2O|S|CO2,10.756587300514846|43.026349202059386|22.86850460089456|0.41396417979809386|22.43459471673312,CH4|NH4|NH3|SO2,4706.114244743238
HD 164595 b,HD 164595,2,1,2015,Haute-Provence Observatory,40.0,0.23,4.16,16.14,0.088,,G2 V,5790.0,1.02,0.99,-0.04,[Fe/H],4.44,18h00m38.73s,270.1613723,+29d34m21.61s,29.5726698,28.254,7.08597,5.482,6.89472,HD 164595,-0.04,-0.09,-0.12,-0.01,-0.02,-0.05,-0.06,0.0,b,40.0,0.09,0.23,0.05,0.0,0.0,O|N|H2O|S,13.887949235681448|55.551796942725794|29.525780075058755|0.5344737465340205,NH4|NH3|SO2,8713.339621100347
HD 164604 b,HD 164604,1,1,2009,Las Campanas Observatory,641.472,1.331,12.3,4544.94622,0.35,,K3.5 V,4684.0,0.77,0.77,-0.18,[Fe/H],4.62,18h03m06.89s,270.7787177,-28d33m39.00s,-28.5608343,39.3633,9.62,7.169,9.32786,HD 164604,0.32,0.41,0.0,0.22,0.12,1.41,0.33,0.43,b,641.5,0.35,1.33,2.0,0.0,0.0,H|He,71|27,H2|He4|N2|C|O2|S|H2O|CO2|CH4|NH4|NH3|SO2,2521.644411991348
HD 164922 b,HD 164922,1,4,2005,W. M. Keck Observatory,1207.0,2.16,13.3,116.0,0.08,159,G9 V,5390.0,0.95,0.93,0.18,[Fe/H],4.46,18h02m31.31s,270.6304652,+26d18m37.47s,26.3104077,22.0016,7.01227,5.113,6.78614,HD 164922,0.16,0.09,-0.23,0.19,0.23,0.08,0.17,0.26,b,1207.0,0.08,2.16,0.36,0.0,0.0,O|N|H2O|S|CO2,11.539881507741613|46.159526030966454|24.533788085458667|0.22776637325536803|17.039038002577893,CH4|NH4|NH3|SO2,2555.010901449138
