id,ex,ey,ez,ed,emag
1238,208.7600877,13.48719323,-126.2378839,244.3331372,8.514911857
1244,484.2390877,14.61019323,144.1821161,505.4596269,8.078432362
1259,219.3370877,13.54919323,140.6761161,260.9254843,8.698582491
1283,90.02908773,13.02219323,200.1231161,219.8273772,7.932408891
1284,128.8160877,13.18519323,315.9981161,341.49999,8.827953476
1302,76.83808773,12.97119323,-24.15888388,81.58428311,8.699032508
1306,111.9990877,13.12119323,34.28811612,117.8627858,8.707883509
1335,594.2590877,15.21819323,743.9461161,952.2768927,8.843816231
1405,167.5640877,13.40119323,-76.90988388,184.8579068,8.777190156
1413,117.1640877,13.17619323,286.0411161,309.3873876,8.008513027
1418,209.6840877,13.60019323,-30.27788388,212.2949179,7.891697989
1457,130.4950877,13.25419323,321.3981161,347.1331021,7.527480147
1460,105.8890877,13.13919323,-122.3138839,162.3139658,5.884779445
1502,261.5860877,13.90619323,329.9941161,421.3274026,7.85509853
1518,91.73008773,13.08919323,-85.36488388,125.9876953,7.866640658
1521,303.7170877,14.12819323,-40.09388388,306.6776724,7.722410792
1581,395.3810877,14.64519323,-156.2998839,425.4060882,8.734018505
1589,70.89508773,13.00119323,-9.674883883,72.72377787,8.409382158
1595,224.4410877,13.78819323,541.7721161,586.5841303,8.495651546
1638,153.7150877,13.44819323,-40.62788388,159.5612956,8.80763777
1696,501.1040877,15.37419323,650.7001161,821.4330853,8.893860956
1712,382.0070877,14.73719323,282.1581161,475.1418761,8.827116541
1718,240.2590877,13.96119323,399.8551161,466.6941804,7.019161927
1721,180.5780877,13.63319323,52.61511612,188.5806463,8.491485599
1731,193.3570877,13.70919323,111.9971161,223.8710776,8.187989948
1746,231.4200877,13.93019323,-207.8408839,311.3633574,7.136337507
1756,47.74608773,12.90419323,-111.7428839,122.199342,8.520344338
1788,54.75708773,12.94819323,101.4701161,116.0266298,8.830788388
1790,103.5720877,13.22719323,269.0531161,288.603041,7.683504515
1801,337.8330877,14.57519323,341.6231161,480.6765907,8.303264861
1806,163.4860877,13.57619323,176.4951161,240.961698,6.201740075
1831,126.0030877,13.36819323,-152.8298839,198.5257165,5.671083861
1845,47.84208773,12.91419323,175.5961161,182.4544813,8.763772673
1848,244.7280877,14.07119323,-666.5558839,710.2017895,8.565908811
1855,740.5950877,16.99919323,623.8461161,968.4802699,8.698453888
1863,164.6000877,13.60619323,-95.83188388,190.9504316,7.362603222
1869,392.3940877,14.96219323,680.6781161,785.8242075,7.292627016
1883,249.9310877,14.12919323,154.3641161,294.0977101,8.644458215
1907,196.4790877,13.82119323,12.94711612,197.3896783,7.306622197
1921,461.3350877,15.43819323,788.3281161,913.5259272,8.322604389
1922,47.08408773,12.91819323,23.38311612,54.13465759,8.709376971
1950,192.0500877,13.82219323,195.2521161,274.2219504,8.972511077
2002,490.8810877,15.76219323,546.9881161,735.1249473,8.923805806
2039,108.4800877,13.33319323,50.60811612,120.4445304,7.998935413
2044,122.3420877,13.42419323,-234.7438839,265.0518561,7.562654249
2066,114.6190877,13.37919323,-81.45488388,141.2495529,8.793935409
2067,66.06408773,13.06219323,186.5811161,198.3622884,8.95629555
2094,172.1590877,13.77119323,-536.0418839,563.1778569,8.595227854
2146,122.5420877,13.46119323,104.4141161,161.5551752,6.811604373
2178,361.9750877,15.12719323,-368.6268839,516.8564362,8.341849644
2182,213.7870877,14.10519323,102.2021161,237.3797546,6.853218383
2198,21.72508773,12.77719323,-72.65288388,76.90043979,5.154644118
2204,59.79808773,13.04319323,154.4651161,166.1487535,7.131485437
2237,355.4470877,15.13319323,624.4051161,718.6469194,5.565577841
2239,125.6060877,13.51219323,-106.5988839,165.2960698,8.867312638
2263,324.6990877,14.94119323,73.29511612,333.2040079,8.093551083
2278,643.8680877,17.24319323,1113.380116,1286.265418,8.470652967
2297,26.92108773,12.81819323,57.32811612,64.61860367,6.333787846
2298,256.7710877,14.48119323,-538.9468839,597.1639977,8.682468084
2320,74.58808773,13.17019323,117.1691161,139.5185959,8.068160484
2343,144.7820877,13.69319323,-125.6128839,192.1664723,6.762388088
2377,173.2820877,13.91819323,65.21911612,185.6715679,6.641727024
2392,255.4060877,14.55019323,216.7601161,335.3042286,6.246195152
2417,167.0040877,13.89619323,-57.01088388,177.0133057,7.961029562
2455,331.4980877,15.19019323,100.5141161,346.7344974,8.639985264
