HIP,new_RA,new_DE,new_Distance,new_Vmag,new_BTmag,new_VTmag,new_Hpmag
93574,280.5592193,-66.11664969,54.93611003,5.82301307,6.48901307,5.86401307,5.93021307
45314,139.8400218,-43.53057759,157.8023035,5.823438358,5.670438358,5.800438358,5.785838358
83196,253.3880482,-19.39299401,34.58279606,5.823522899,6.288522899,5.865522899,5.914922899
100097,301.8585161,55.83225634,91.85579102,5.82356077,,,5.84516077
99825,288.1503065,-8.962418267,9.214147124,5.824000156,,,5.971900156
85912,261.3540533,21.6659209,39.74444023,5.824011181,6.410011181,5.881011181,5.932311181
32938,105.5711881,-35.03847087,52.26487694,5.824236074,6.056236074,5.851236074,5.888836074
8387,26.2138098,19.03598606,86.53403751,5.824737161,5.770737161,5.814737161,5.817737161
91974,280.711325,-24.28500795,243.8599098,5.824911153,5.859911153,5.828911153,5.837311153
106003,318.0770191,34.80839912,46.19558463,5.825211621,6.207211621,5.863211621,5.908511621
11840,37.57325807,37.10947019,79.2117257,5.825435057,7.217435057,5.945435057,5.990135057
106897,320.6679847,23.687313,40.12718279,5.825846991,6.194846991,5.867846991,5.905746991
55716,172.1863664,12.33105507,145.1940661,5.825908229,7.598908229,5.974908229,5.969108229
92488,282.4974647,-9.424642327,464.2406981,5.825984809,6.545984809,5.906984809,5.952084809
22407,72.88917078,34.5516997,102.3422156,5.826370222,6.135370222,5.847370222,5.898670222
111660,336.2655441,75.74307288,193.5425111,5.826390302,7.883390302,6.004390302,5.917890302
20020,64.86058448,-63.72742243,138.3908578,5.826482591,5.699482591,5.758482591,5.803382591
91461,278.2610168,-46.13864048,100.2859892,5.826569585,6.112569585,5.863569585,5.899969585
72210,221.8346477,-21.45145577,113.6236818,5.82673281,7.06873281,5.93973281,5.98673281
78649,240.7273214,36.76864741,215.4884204,5.826829681,6.546829681,5.909829681,5.953629681
9132,28.93995873,29.1416518,145.1233362,5.827139127,7.886139127,6.029139127,5.898539127
35347,110.4300396,-43.73186721,187.6352235,5.827368362,5.682368362,5.800368362,5.788168362
64623,200.2770705,-46.55052992,79.03585203,5.827523903,7.206523903,5.945523903,5.989423903
76532,234.4355081,-20.8512754,85.00629799,5.827726268,7.201726268,5.946726268,5.998226268
74296,229.2023932,-83.08727037,95.37079863,5.82857688,5.78257688,5.81957688,5.82437688
45675,139.7174236,-51.54656281,5880.213998,5.829210265,6.453210265,5.949210265,5.971210265
38712,122.5892864,12.98384398,37.6246097,5.829695122,6.252695122,5.862695122,5.915395122
70663,217.8359461,-42.59865162,58.26805192,5.82973891,6.20073891,5.85173891,5.90063891
79757,244.0679423,29.37195819,256.6723877,5.829881231,5.892881231,5.820881231,5.845481231
105164,319.0467317,-4.026553494,300.3227535,5.830162353,5.659162353,5.802162353,5.785962353
20873,67.77777065,18.16326898,52.57425791,5.830313886,6.223313886,5.872313886,5.911513886
45386,139.7203756,-37.02900871,190.5733716,5.830327806,6.870327806,5.930327806,5.987927806
6226,19.24365627,0.724040601,118.7628577,5.830930744,6.422930744,5.704930744,5.968130744
13055,40.3955237,82.52309424,155.0990434,5.830934338,7.528934338,5.961934338,6.019734338
81472,249.3499655,-42.41762741,210.6219472,5.830986166,5.781986166,5.844986166,5.816486166
23883,77.18185607,22.30172071,315.1865194,5.831273584,6.035273584,5.852273584,5.857973584
64587,199.3185149,-78.18417166,569.3411509,5.832053118,7.158053118,5.951053118,5.994453118
56606,174.6878273,-60.74397128,446.824951,5.832211397,5.696211397,5.814211397,5.799211397
8588,26.03433438,15.20903447,40.93918743,5.832336131,6.197336131,5.874336131,5.913536131
17618,56.69427389,-28.77217387,97.47260574,5.832588854,5.981588854,5.851588854,5.878088854
81641,249.7225668,5.646948134,95.66742815,5.832881851,5.827881851,5.833881851,5.841081851
108875,329.9111181,12.27720913,166.0811838,5.833188719,5.763188719,5.822188719,5.822888719
93845,285.3967829,25.17620948,104.373597,5.833510692,5.973510692,5.850510692,5.876610692
10440,32.93301984,-40.97771158,98.81565634,5.833601617,7.053601617,5.939601617,5.998701617
65466,202.3807747,24.88504277,81.08509496,5.834145274,5.941145274,5.849145274,5.870345274
59728,184.8702872,-19.26125324,108.9337735,5.834172596,7.168172596,5.940172596,6.000672596
11670,36.66620153,29.13244714,49.99247898,5.834695544,6.327695544,5.891695544,5.924095544
27533,87.95908141,-22.49912471,184.2614538,5.834878752,5.896878752,5.835878752,5.858878752
63414,195.9303204,-2.149184937,93.23515125,5.834968994,6.053968994,5.866968994,5.896068994
67143,207.2575522,-23.96982835,89.12689439,5.835023177,5.857023177,5.832023177,5.846123177
52922,163.4116541,-58.8736707,260.0058653,5.835232539,5.890232539,5.900232539,5.849832539
35025,110.002336,26.53221868,103.0805258,5.835259913,7.843259913,6.011259913,5.941759913
61916,190.9507617,-45.40428138,243.9817694,5.835403423,7.770403423,6.000403423,5.959703423
3521,9.073884831,-42.12354539,63.49090662,5.835461104,6.174461104,5.863461104,5.907161104
8593,26.2680251,-50.32259863,71.32244211,5.836788062,6.022788062,5.854788062,5.887488062
46460,146.7444391,-65.95786938,79.81884999,5.836980223,5.855980223,5.838980223,5.847280223
54863,170.4883807,10.01840512,70.0113848,5.837607619,7.300607619,5.965607619,6.006607619
26762,86.85768091,3.349777007,49.25100274,5.837789565,6.194789565,5.866789565,5.909689565
95572,289.325148,15.19101784,57.71094527,5.837822601,6.397822601,5.892822601,5.947922601
18217,58.89149305,61.83480524,53.16603877,5.837881185,6.059881185,5.843881185,5.888281185
3093,357.6899332,37.29188287,10.89486734,5.838045983,,,5.988045983
118281,354.5061137,39.46131396,29.39397423,5.838497962,,,5.951697962
60584,186.813961,56.76690063,368.0876515,5.838509055,7.930509055,6.040509055,5.902309055
87812,268.7406228,1.239572449,256.6433904,5.838613171,5.915613171,5.857613171,5.867813171
